test_id,release_id,test_category,test_name,precondition,test_steps,expected_result,actual_result,status,tester,execution_date,defect_id,severity
UAT-001,REL-2024-01,Data Validation,Revenue Row Count Verification,Revenue table loaded with Jan data,1. Run row count query on revenue table 2. Compare with source system count,Row counts match within 0% tolerance,Row counts matched: 1500 vs 1500,PASS,Yash Sonawane,2024-01-25,,
UAT-002,REL-2024-01,Data Validation,Revenue Null Field Check,Revenue table loaded,1. Run null check on amount and account_id fields 2. Verify zero nulls,Zero null values in critical fields,Zero nulls found,PASS,Yash Sonawane,2024-01-25,,
UAT-003,REL-2024-01,Data Validation,Revenue Aggregate Match,Source and reporting tables loaded,1. Sum revenue in source 2. Sum revenue in reporting 3. Compare totals,Totals match within $0.01 tolerance,Totals matched: $4825000.00,PASS,Yash Sonawane,2024-01-25,,
UAT-004,REL-2024-01,Reconciliation,P&L Row Count Verification,P&L table loaded with Jan data,1. Run row count on P&L table 2. Compare with source,Row counts match,Mismatch: expected 320 got 318,FAIL,Yash Sonawane,2024-01-25,DEF-001,HIGH
UAT-005,REL-2024-01,Reconciliation,P&L Duplicate Check,P&L table loaded,1. Run duplicate check on transaction_id 2. Verify zero duplicates,Zero duplicates,Found 3 duplicate transaction_ids,FAIL,Yash Sonawane,2024-01-25,DEF-002,HIGH
UAT-006,REL-2024-01,Reporting,Dashboard KPI Accuracy,Tableau dashboard connected to reporting DB,1. Open dashboard 2. Verify revenue KPI matches SQL output 3. Verify trend direction,KPI values match SQL output within 0.1%,All KPIs matched,PASS,Yash Sonawane,2024-01-26,,
UAT-007,REL-2024-01,Reporting,Dashboard Filter Functionality,Dashboard open,1. Apply region filter West 2. Verify all charts update 3. Clear filter 4. Verify charts reset,Filters apply correctly across all charts,Filters worked correctly,PASS,Yash Sonawane,2024-01-26,,
UAT-008,REL-2024-01,Edge Case,Null Amount Handling,Test records with null amounts loaded,1. Run reconciliation query with null amounts 2. Verify COALESCE handles nulls,Null amounts treated as 0 no query errors,Nulls handled correctly,PASS,Yash Sonawane,2024-01-26,,
UAT-009,REL-2024-01,Edge Case,Zero Value Transaction,Test record with $0 transaction loaded,1. Load $0 transaction 2. Run reconciliation 3. Verify classified as MATCHED,Zero-value transaction classified correctly,Classified as MATCHED correctly,PASS,Yash Sonawane,2024-01-26,,
UAT-010,REL-2024-01,Edge Case,Tolerance Boundary Check,Records at exact tolerance boundary loaded,1. Load record with deviation = tolerance value 2. Run control framework 3. Check status,Record classified as PASS_WITH_TOLERANCE,Correctly classified,PASS,Yash Sonawane,2024-01-26,,
UAT-011,REL-2024-02,Data Validation,Inventory Row Count Verification,Inventory table loaded with Feb data,1. Run row count on inventory table 2. Compare with source,Row counts match,Row counts matched: 800 vs 800,PASS,Yash Sonawane,2024-02-22,,
UAT-012,REL-2024-02,Reconciliation,Inventory Value Match,Inventory source and reporting loaded,1. Sum inventory value in source 2. Sum in reporting 3. Compare,Match within $500 tolerance,Matched: $950000 vs $948500 (within tolerance),PASS,Yash Sonawane,2024-02-22,,
UAT-013,REL-2024-02,Performance,Reconciliation Query Performance,Full dataset loaded (10000 rows),1. Execute full reconciliation SQL 2. Measure execution time,Query completes within 30 seconds,Completed in 12 seconds,PASS,Yash Sonawane,2024-02-22,,
UAT-014,REL-2024-02,Reporting,Exception Report Completeness,Known failures pre-seeded in dataset,1. Run exception report query 2. Verify all known failures appear,All 4 known failures surfaced in report,All 4 failures captured,PASS,Yash Sonawane,2024-02-23,,
UAT-015,REL-2024-02,Edge Case,Large Variance Flagging,Record with $50000 variance loaded,1. Load high-variance record 2. Run break investigation 3. Check severity,Record classified as HIGH severity,Correctly classified as HIGH,PASS,Yash Sonawane,2024-02-23,,
